,형태소,품사,등장횟수,동일형태소
131,할,Verb,527,0
132,수,Noun,495,1
133,있나,Adjective,13,0
134,진짜,Noun,3276,0
135,환상,Noun,266,0
136,적,Suffix,1473,1
137,공주,Noun,839,0
138,자팡,Noun,1,0
139,격분,Noun,2,0
140,하며,Verb,66,0
141,로서,Noun,12,0
142,위엄,Noun,4,0
143,보일,Verb,2,0
144,때,Noun,1523,0
145,나오는,Verb,170,0
146,음악,Noun,970,0
147,압,Noun,11,0
148,권,Suffix,17,0
149,이었습니다,Verb,98,1
150,모습,Noun,102,0
151,이미,Adverb,65,0
152,술탄,Noun,144,0
153,이었죠,Verb,2,0
154,제목,Noun,130,0
155,해도,Noun,57,1
156,될,Verb,90,0
157,정도,Noun,600,1
158,나오미,Noun,353,0
159,스캇,Noun,38,0
160,너무나,Adverb,111,0
161,반짝,Noun,3,0
162,돋보이는,Verb,16,0
163,아름다운,Adjective,431,1
164,였습니다,Verb,292,0
165,왕자,Noun,115,0
166,필요없어,Adjective,1,0
167,색감,Noun,124,0
168,노래,Noun,3302,0
169,화려하고,Adjective,152,0
170,재밌었어요,Adjective,460,0
171,비교,Noun,63,0
172,하자면,Verb,5,0
173,제,Noun,278,1
174,남자,Noun,80,0
175,그런지,Adjective,79,0
176,미녀와야수,Noun,63,0
177,몇,Modifier,49,1
178,배,Noun,54,1
179,더,Noun,1394,0
180,재밌었습니다,Adjective,89,0
181,특히,Adverb,345,0
182,프린스,Noun,98,0
183,알리,Noun,206,0
184,닭살,Noun,6,0
185,돋을,Verb,16,0
186,역할,Noun,180,0
187,소화,Noun,47,0
188,시킬수있을까,Verb,1,0
189,걱정,Noun,101,0
190,했는데,Verb,387,0
191,아주,Noun,210,0
192,훌륭하게,Adjective,7,0
193,했습니다,Verb,111,0
194,잠시,Noun,55,0
195,갓,Modifier,54,1
196,님,Suffix,180,1
197,의심,Noun,11,0
198,했던게,Verb,5,0
199,넘,Verb,1067,0
200,후회되네요,Adjective,1,0
201,ㅜ,KoreanParticle,197,0
202,일케,Noun,1,0
203,큰,Verb,116,0
204,혼자,Noun,133,0
205,씹고,Verb,1,0
206,삼키고,Verb,1,0
207,다,Adverb,1546,1
208,하십니다,Verb,1,0
209,진정한,Adjective,27,0
210,진흙,Noun,14,0
211,속,Noun,330,1
212,보석,Noun,21,0
213,듯,Noun,426,0
214,걍,Adverb,116,0
215,가수,Noun,11,0
216,네,Suffix,333,1
217,심하게,Adjective,6,0
218,예쁜건,Adjective,4,0
219,입,Noun,77,0
220,아프고,Adjective,3,0
221,가,Verb,420,0
222,이,Determiner,576,1
223,리치,Noun,48,0
224,이제,Noun,104,0
225,날개,Noun,2,0
226,달듯,Verb,1,0
227,ㅋ,KoreanParticle,326,1
228,지리는,Verb,4,0
229,감독,Noun,58,0
230,입니다,Adjective,1236,1
231,잘만,Noun,76,0
232,듬,Noun,28,0
233,꼭,Noun,1078,0
234,보시길,Verb,67,0
235,유치하지도,Adjective,16,0
236,않고,Verb,216,0
237,성인,Noun,67,0
238,위,Noun,92,0
239,최근,Noun,118,0
240,좋네요,Adjective,116,0
241,라면,Noun,55,0
242,피,Noun,14,0
243,해갈,Noun,3,0
244,없는,Adjective,277,0
245,여동안의,Foreign,2,0
246,시간여행,Noun,6,0
247,그,Determiner,284,1
248,곳,Noun,34,0
249,같이,Adverb,298,0
250,뛰고,Verb,13,0
251,날아다니고,Verb,1,0
252,놀라운,Adjective,9,0
253,결말,Noun,72,0
254,새로운,Adjective,65,0
255,해석,Noun,60,0
256,놀랍고,Verb,8,0
257,윌스미슨,Noun,2,0
258,신의한수,Noun,29,0
259,아직도,Adverb,104,0
260,아른거리는,Verb,1,0
261,♥,Foreign,147,0
262,떠나자,Verb,1,0
263,신비한,Adjective,32,0
264,세계,Noun,109,0
265,★★★,Foreign,1,0
266,솔직히,Adjective,167,0
267,지금,Noun,167,0
268,실사판,Noun,314,0
269,중,Noun,498,1
270,잴,Verb,2,0
271,스웩,Noun,16,0
272,넘치는,Adjective,49,0
273,현명하고,Adjective,3,0
274,아크로바틱,Noun,3,0
275,착한,Adjective,12,0
276,재미있고,Adjective,148,0
277,역,Noun,186,0
278,잘,VerbPrefix,1136,1
279,해낼,Verb,1,0
280,배우,Noun,972,0
281,있을까,Adjective,17,0
282,예쁘고,Adjective,290,0
283,원숭이,Noun,136,0
284,연기,Noun,1217,0
285,함,Verb,75,1
286,말,Noun,653,0
287,것,Noun,775,0
288,없음,Adjective,118,0
289,ㅠㅠㅠ,KoreanParticle,350,0
290,beauty,Alpha,1,0
291,and,Alpha,3,0
292,the,Alpha,16,0
293,beast,Alpha,1,0
294,눈물났고,Verb,1,0
295,눈물남,Verb,16,0
296,방금,Noun,64,0
297,왔는데요,Verb,1,0
298,또,Noun,1585,0
299,보러,Verb,500,0
300,갈,Verb,92,0
301,겁니다,Verb,48,0
302,예쁩니다,Adjective,4,0
303,영,Modifier,614,1
304,상미,Noun,440,0
305,대박,Noun,574,0
306,인도,Noun,47,0
307,풍,Adverb,41,0
308,태국,Noun,1,0
309,의,Noun,59,1
310,다이나믹,Noun,4,0
311,컬러,Noun,6,0
312,배치,Noun,3,0
313,눈,Noun,791,0
314,돌아가게,Verb,15,0
315,만듭니,Noun,1,0
316,백인,Noun,2,0
317,공,Modifier,53,1
318,주님,Noun,2,0
319,좋아합니다만,Adjective,2,0
320,완전,Noun,571,0
321,다른,Noun,137,1
322,매력,Noun,453,0
323,빠지실,Verb,1,0
324,있습니다,Adjective,44,0
325,내,Noun,556,1
326,와이프,Noun,26,0
327,자유로워졌을,Adjective,2,0
328,울었다,Verb,19,0
329,만,Modifier,38,1
330,원내,Noun,2,0
331,이런,Modifier,91,1
332,걸,Noun,174,0
333,볼수있게,Verb,3,0
334,해줘서,Verb,32,0
335,고마워,Adjective,11,0
336,심각하게,Adjective,10,0
337,객관,Noun,4,0
338,리뷰,Noun,27,0
339,남깁니다,Verb,9,0
340,어제,Noun,51,0
341,시사회,Noun,4,0
342,봤는데,Verb,1027,0
343,예전,Noun,76,0
344,기억,Noun,233,0
345,더듬고,Verb,2,0
346,시청,Noun,7,0
347,결과,Noun,7,0
348,옛날,Noun,123,0
349,보았던,Verb,36,0
350,스토리,Noun,691,0
351,알고있다는,Verb,1,0
352,사실,Noun,64,0
353,놀라웠고,Adjective,2,0
354,그,Noun,476,1
355,덕분,Noun,63,0
356,받을수,Verb,1,0
357,있어서,Adjective,99,0
358,좋았습니다,Adjective,249,0
359,뮤지컬,Noun,649,0
360,보는거,Verb,37,0
361,같아,Adjective,39,0
362,행복,Noun,54,0
363,재밌게,Adjective,1002,0
364,봤어요,Verb,1022,0
365,바,Noun,47,0
366,부가,Noun,12,0
367,빨간,Adjective,5,0
368,돌아가,Verb,21,0
369,가듯이,Verb,1,0
370,돌아갔다,Verb,13,0
371,마음속,Noun,13,0
372,같은,Adjective,367,0
373,벌써,Noun,37,0
374,다음,Noun,74,0
375,기대,Noun,631,0
376,된다,Verb,42,0
377,믿고,Verb,203,0
378,보는,Verb,792,0
379,저,Noun,307,1
380,거,Noun,365,0
381,기다려서,Verb,2,0
382,오늘,Noun,149,0
383,가서,Verb,117,0
384,보고왔는데,Verb,72,0
385,좀,Noun,462,0
386,기,Modifier,403,1
387,대안,Noun,164,0
388,좋았고,Adjective,209,0
389,여자,Noun,128,0
390,분,Suffix,54,1
391,하시고,Verb,15,0
392,예뻐요,Adjective,93,0
393,돈,Noun,250,0
394,안,VerbPrefix,669,1
395,아까운,Adjective,24,0
396,인정,Noun,51,0
397,평점,Noun,364,0
398,잘,Verb,1111,1
399,안,Noun,477,1
400,남기는데,Verb,34,0
401,만듦,Verb,14,0
402,스콧,Noun,277,0
403,가창력,Noun,31,0
404,싱크로,Noun,75,0
405,율,Noun,62,0
406,상당히,Adjective,13,0
407,높고,Adjective,9,0
408,자,Noun,189,1
409,파도,Noun,12,0
410,생각,Noun,927,0
411,나쁘지,Adjective,33,0
412,않음,Verb,45,0
413,아부,Noun,167,0
414,졸귀,Noun,14,0
415,개인,Noun,171,0
416,가이,Verb,17,0
417,거의,Noun,73,0
418,재밌는,Adjective,139,0
419,하다,Verb,57,0
420,우리,Noun,129,0
421,시,Modifier,39,1
422,대의,Noun,2,0
423,겨울왕국,Noun,109,0
424,이었구나,Verb,3,0
425,엔드게임,Noun,30,0
426,재밌었다,Adjective,108,0
427,드물게,Adjective,2,0
428,훌륭하다,Adjective,12,0
429,캐스팅,Noun,382,0
430,많이,Adverb,274,1
431,아쉽게,Adjective,5,0
432,느껴졌는데,Verb,2,0
433,예고편,Noun,62,0
434,아니였네요,Adjective,1,0
435,캐릭터,Noun,248,0
436,표현,Noun,132,1
437,역량,Noun,4,0
438,대단했습니다,Adjective,1,0
439,아라비안,Noun,142,0
440,아름다,Adjective,54,0
441,움,Noun,178,0
442,담은,Verb,12,0
443,마밥,Noun,1,0
444,양탄자,Noun,324,0
445,타고,Noun,134,0
446,싶으시다면,Verb,2,0
447,4,Number,827,0
448,D,Alpha,623,0
449,로,Noun,605,0
450,보시는것을,Verb,1,0
451,추천,Noun,478,0
452,합니다,Verb,427,0
453,강추,Noun,282,0
454,재탄생,Noun,5,0
455,이뻐요,Adjective,72,0
456,친구,Noun,157,0
457,싶어지는,Verb,15,0
458,순수,Noun,5,0
459,능력,Noun,20,0
460,인정받아,Verb,1,0
461,되는,Verb,217,0
462,멋있더라고요,Adjective,1,0
463,저렇게,Adverb,7,0
464,당당하게,Adjective,5,0
465,있는,Adjective,405,0
466,그만큼,Adverb,18,0
467,되기,Verb,5,0
468,위해,Noun,51,0
469,노력,Noun,22,0
470,했으니,Verb,2,0
471,당당히,Adjective,1,0
472,있지,Adjective,10,0
473,않을까,Verb,24,0
474,들었고,Verb,12,0
475,열심히,Adverb,14,0
476,살아야겠단,Verb,1,0
477,재밌어요,Adjective,692,0
478,용기,Noun,19,0
479,모험,Noun,31,0
480,삶,Noun,23,0
481,계속,Noun,418,0
482,살아가겠습니다,Verb,1,0
483,♡,Foreign,372,0
484,그리고,Conjunction,388,0
485,아그라,Noun,15,0
486,바를,Verb,2,0
487,여행,Noun,73,0
488,황홀한,Adjective,32,0
489,경험,Noun,18,0
490,갖게,Verb,4,0
491,좋아요,Adjective,485,0
492,왔는데,Verb,49,0
493,어릴,Verb,444,0
494,적,Noun,281,1
495,봤던,Verb,207,0
496,만화영화,Noun,68,0
497,들,Verb,242,1
498,나와서,Verb,57,0
499,리메이크,Noun,46,0
500,버전,Noun,56,0
501,훨씬,Adverb,114,0
502,재미있게,Adjective,577,0
503,일단,Noun,76,0
504,신나서,Adjective,24,0
505,좋음,Adjective,227,0
506,아는,Verb,151,0
507,진부할까,Adjective,1,0
508,기우였었다,Verb,1,0
509,슈퍼,Noun,4,0
510,캐리,Noun,129,0
511,파워,Noun,13,0
512,느낄수,Verb,13,0
513,비주,Noun,44,0
514,얼,Noun,51,0
515,상당한,Adjective,1,0
516,만족감,Noun,3,0
517,있었다,Adjective,27,0
518,오늘밤,Noun,1,0
519,꿈,Noun,103,0
520,다시,Noun,691,0
521,봤음,Verb,114,0
522,좋겠다,Adjective,32,0
523,주인공,Noun,501,0
524,풍경,Noun,14,0
525,순간,Noun,98,0
526,귀,Noun,186,1
527,홀리,Noun,4,0
528,등,Noun,114,0
529,모든,Noun,270,1
530,기대는,Verb,10,0
531,만들었을,Verb,1,0
532,줄,Noun,201,0
533,역대,Noun,193,0
534,급,Suffix,169,1
535,입니당,Adjective,31,0
536,누가,Noun,49,0
537,미스캐스팅,Noun,27,0
538,했냐,Verb,7,0
539,아니면,Adjective,28,0
540,해,Noun,117,1
541,빡칠,Adjective,1,0
542,좋습니다,Adjective,68,0
543,부르며,Verb,6,0
544,날던,Verb,1,0
545,잊혀지질,Verb,11,0
546,않아요,Verb,43,0
547,갑자기,Noun,32,0
548,울컥,Adverb,103,0
549,했음,Verb,95,0
550,동심,Noun,341,0
551,돌아간,Verb,77,0
552,느낌,Noun,627,1
553,들어서,Verb,32,0
554,한편,Noun,180,0
555,찍,Noun,7,0
556,고온,Noun,5,0
557,하녀,Noun,1,0
558,모두,Noun,421,1
559,개봉,Noun,81,1
560,조조,Noun,35,0
561,보고옴,Verb,11,0
562,괜찮았음,Adjective,11,0
563,할것도,Verb,37,0
564,없고,Adjective,120,0
565,어벤져스,Noun,52,0
566,재밌는것,Adjective,5,0
567,설레는,Adjective,3,0
568,미술,Noun,11,0
569,연출,Noun,275,0
570,소품,Noun,7,0
571,화려함의,Adjective,4,0
572,극치,Noun,6,0
573,보여줍니다,Verb,2,0
574,늘,Noun,18,0
575,그랬듯이,Adjective,1,0
576,기술,Noun,23,0
577,자본,Noun,10,0
578,때려,Verb,8,0
579,박았습니다,Verb,1,0
580,빌런,Noun,8,0
581,심지어,Noun,15,0
582,라킴,Noun,1,0
583,존재,Noun,62,0
584,감,Noun,165,1
585,발산,Noun,1,0
586,이쁨,Adjective,99,0
587,볼때,Noun,55,0
588,강렬했는데,Adjective,1,0
589,뒤,Noun,55,0
590,남,Noun,158,0
591,주가,Noun,32,0
592,생각난다는,Verb,1,0
593,뭐,Noun,209,0
594,뭔가,Noun,105,0
595,적임,Noun,35,0
596,굉장히,Adjective,45,0
597,보면,Verb,230,0
598,볼수록,Verb,42,0
599,찰떡,Noun,242,0
600,이었음,Verb,50,0
601,날렵하면서도,Adjective,1,0
602,선,Noun,17,0
603,해보이면서,Verb,1,0
604,약간,Noun,100,0
605,빈곤해,Adjective,1,0
606,보이는것까지,Verb,1,0
607,억지스러운면이,Adjective,3,0
608,일도,Noun,8,0
609,없었음,Adjective,25,0
610,뽑기,Noun,1,0
611,힘들었을듯,Adjective,1,0
612,뭐임,Noun,2,0
613,존잘,Noun,25,0
614,춤추는거도,Verb,1,0
615,와,Verb,422,1
616,22,Number,217,0
617,편,Noun,54,0
618,봐야,Verb,107,0
619,이해,Noun,74,0
620,아무,Modifier,37,1
621,없이,Adverb,404,0
622,즐길수있는,Verb,11,0
623,이런,Adjective,189,1
624,맞는거,Verb,4,0
625,같다,Adjective,196,0
626,날듯,Verb,6,0
627,싶네,Verb,12,0
628,ㅋㅋㅋㅋ,KoreanParticle,177,0
629,상상,Noun,85,0
630,상임,Noun,8,0
631,돠,Noun,3,0
632,90년,Number,9,0
633,대생인,Foreign,1,0
634,디즈니만화동산,Noun,18,0
635,비비면서,Verb,2,0
636,보던,Verb,95,0
637,시절,Noun,75,0
638,생각났다,Verb,7,0
639,행복한,Adjective,110,0
640,평이,Noun,25,0
641,많은데,Adjective,6,0
642,그럼,Adjective,21,0
643,단체,Noun,3,0
644,엔딩,Noun,40,0
645,씬,Noun,75,0
646,보면서,Verb,160,0
647,나도,Verb,128,0
648,행복하고,Adjective,32,0
649,가슴,Noun,102,0
650,먹,Verb,7,0
651,먹하고,Verb,2,0
652,헤어지기,Verb,2,0
653,싫은,Adjective,5,0
654,그런,Adjective,53,1
655,왠지,Adverb,11,0
656,모르겠음,Verb,9,0
657,어린시절,Noun,114,0
658,만나,Verb,9,0
659,건가,Noun,33,0
660,근데,Adverb,135,0
661,추억,Noun,504,0
662,봐도,Verb,508,0
663,재밌을,Adjective,13,0
664,같음,Adjective,115,1
665,남기는,Verb,12,0
666,사람,Noun,426,0
667,아닌데,Adjective,24,0
668,재미있었고,Adjective,22,0
669,지루하지,Adjective,99,0
670,않았음,Verb,25,0
671,이번,Noun,121,0
672,본,Verb,791,1
673,짱,Modifier,82,1
674,임,Noun,484,0
675,뭐볼,Noun,2,0
676,고민,Noun,53,0
677,한다면,Verb,12,0
678,바로,Noun,59,0
679,무도,Noun,1,0
680,본,Modifier,192,1
681,없었으면,Adjective,24,0
682,좋겠음,Adjective,5,0
683,알아도,Verb,6,0
684,해서,Verb,380,0
685,하나,Noun,526,0
686,지루하고,Adjective,27,0
687,재밌음,Adjective,226,0
688,분위기,Noun,71,0
689,좋았지만,Adjective,45,0
690,역시,Noun,672,0
691,띵곡,Noun,15,0
692,신의,Noun,71,0
693,한,Verb,326,1
694,넘나,Verb,121,0
695,좋고,Adjective,974,0
696,어린이,Noun,65,0
697,치기,Noun,1,0
698,어른,Noun,362,0
699,보기,Noun,379,0
700,굿굿,Noun,95,0
701,선방,Noun,6,0
702,작품,Noun,210,0
703,없었다,Adjective,55,0
704,미녀,Noun,88,0
705,야수,Noun,88,0
706,높게,Adjective,7,0
707,평가,Noun,48,0
708,나잇,Noun,24,0
709,받아,Verb,26,0
710,뻔,Noun,140,0
711,좀도둑,Noun,12,0
712,몰리는,Verb,1,0
713,아바브,Noun,13,0
714,입장,Noun,19,0
715,행복해서,Adjective,10,0
716,꼬리,Noun,8,0
717,씰룩거리며,Verb,1,0
718,괜스레,Noun,1,0
719,뿌듯,Noun,1,0
720,벅차올라서,Adjective,3,0
721,뻔햇,Noun,3,0
722,시간,Noun,777,0
723,순삭,Noun,27,0
724,ㅠ,KoreanParticle,495,0
725,히어로,Noun,2,0
726,보아,Noun,18,0
727,이쁜거,Adjective,5,0
728,아니냐,Adjective,7,0
729,그렇고,Adjective,25,0
730,옛,Adverb,38,1
731,향수,Noun,54,0
732,그대로,Noun,126,0
733,영화로,Noun,150,0
734,들어왔음,Verb,1,0
735,대,Modifier,292,1
736,만족,Noun,89,0
737,퇴근,Noun,8,0
738,온,Noun,117,1
739,이었어요,Verb,151,0
740,멋있고,Adjective,97,0
741,따뜻해지는,Adjective,13,0
742,두,Determiner,737,1
743,동안,Noun,146,1
744,행복했어,Adjective,5,0
745,초대,Noun,8,0
746,해줘,Verb,6,0
747,어쩜,Noun,21,0
748,했을까,Verb,6,0
749,아름답고,Adjective,310,0
750,행복해지는,Adjective,76,0
751,네티즌,Noun,2,0
752,평,Noun,57,0
753,보,Noun,82,0
754,그렇게,Adverb,61,0
755,하는게,Verb,22,0
756,아니구나,Adjective,2,0
757,맨,Modifier,29,1
758,이트,Noun,8,0
759,쫙,Noun,40,0
760,돋고,Verb,67,0
761,제대로,Noun,95,0
762,후려,Noun,1,0
763,김,Noun,6,0
764,사운드,Noun,77,0
765,단연,Noun,73,0
766,마지막,Noun,207,0
767,보고왔습니다,Verb,27,0
768,즐거움,Noun,61,0
769,선사,Noun,14,0
770,합,Noun,10,0
771,딘,Noun,15,0
772,한마디,Noun,41,0
773,내내,Noun,465,1
774,남는다,Verb,26,0
775,너,Noun,62,1
776,가치,Noun,57,0
777,믿어,Verb,7,0
778,누군가,Noun,6,0
779,아닌,Adjective,88,0
780,변화,Noun,19,0
781,된,Verb,210,1
782,좋았다,Adjective,265,0
783,옳다,Adjective,4,0
784,이유,Noun,81,0
785,다른,Modifier,35,1
786,꿀,Noun,40,0
787,있으니깐,Adjective,1,0
788,희망,Noun,20,0
789,주,Noun,24,1
790,그래서,Adverb,48,0
791,답답한,Adjective,6,0
792,현실,Noun,68,0
793,조금,Noun,173,0
794,견뎌,Verb,1,0
795,낼,Noun,10,0
796,힘,Noun,41,0
797,생기,Noun,9,0
798,유치하다고,Adjective,6,0
799,지,Verb,26,1
800,몰라도,Verb,9,0
801,세월,Noun,11,0
802,갈수록,Noun,21,0
803,다큐,Noun,1,0
804,풍자,Noun,2,0
805,진지,Noun,1,0
806,좋다,Adjective,215,0
807,좋아했던,Adjective,17,0
808,나이,Noun,97,0
809,먹고,Verb,32,0
810,화로,Noun,18,0
811,보니,Verb,129,0
812,감회,Noun,13,0
813,새롭게,Adjective,26,0
814,느껴졌습니다,Verb,4,0
815,러닝,Noun,18,0
816,타임,Noun,35,0
817,인지도,Foreign,2,0
818,모르고,Verb,209,0
819,웃으며,Verb,21,0
820,행복하게,Adjective,39,0
821,봤구요,Verb,6,0
822,여러분,Noun,67,0
823,보시,Noun,38,0
824,나를,Verb,32,0
825,보시는게,Verb,1,0
826,어떨까,Adjective,5,0
827,요,Noun,202,1
828,Do,Alpha,12,0
829,you,Alpha,25,0
830,trust,Alpha,13,0
831,me,Alpha,39,0
832,Yes,Alpha,2,0
833,일거라,Verb,5,0
834,였네,Verb,6,0
835,라이브,Noun,9,0
836,액션,Noun,32,0
837,재밌을줄이야,Adjective,4,0
838,ㅜㅜ,KoreanParticle,419,0
839,갓즈니,Noun,6,0
840,명곡,Noun,40,0
841,새삼,Noun,8,0
842,입덕,Noun,12,0
843,ㅋㅋ,KoreanParticle,678,0
844,소문,Noun,27,0
845,탈,Noun,9,0
846,터질,Verb,4,0
847,이상,Noun,391,0
848,믿기지,Verb,2,0
849,않는,Verb,93,0
850,ㄷㄷ,KoreanParticle,44,0
851,이뿐것,Adjective,1,0
852,좋아해서,Adjective,59,0
853,신데렐라,Noun,9,0
854,날,Noun,93,1
855,달려갔는데,Verb,1,0
856,앞선,Verb,1,0
857,두,Noun,137,1
858,덜했음,Adjective,1,0
859,세,Noun,74,1
860,가장,Noun,201,0
861,였다,Verb,275,0
862,화보,Noun,103,0
863,웃다,Verb,24,0
864,넘어가는줄,Verb,1,0
865,알았음,Verb,3,0
866,관람,Noun,222,0
867,기준,Noun,23,0
868,전부,Noun,62,0
869,맘,Noun,64,0
870,들고,Verb,19,0
871,진부하지,Adjective,3,0
872,현,Modifier,40,1
873,세대,Noun,25,0
874,맞춘,Verb,5,0
875,력,Suffix,86,0
876,재미,Noun,697,0
877,느꼈습니다,Verb,7,0
878,없게,Adjective,19,0
879,해주세요,Verb,24,0
880,ㄹㅇ,KoreanParticle,112,0
881,재밌다,Adjective,278,0
882,알바,Noun,43,0
883,아니고,Adjective,48,0
884,만들어서,Verb,19,0
885,성공,Noun,48,0
886,200,Number,216,0
887,퍼센트,Noun,3,0
888,그냥,Noun,707,1
889,보셈,Verb,39,0
890,무슨,Noun,47,1
891,많음,Adjective,18,0
892,재미있다,Adjective,53,0
893,공감,Noun,34,0
894,재미없다,Adjective,16,0
895,비공,Noun,6,0
896,눌러주세요,Verb,2,0
897,끝나고,Verb,77,0
898,박수,Noun,72,0
899,칠,Noun,9,1
900,확실한건,Adjective,2,0
901,절대,Noun,67,0
902,아깝다,Adjective,18,0
903,류,Noun,18,0
904,보는데,Verb,111,0
905,재밌고,Adjective,403,0
906,가는줄,Verb,190,0
907,모르겠네,Verb,11,0
908,드립니다,Verb,39,0
909,심야,Noun,38,0
910,콩나물,Noun,1,0
911,국밥집,Noun,1,0
912,35,Number,3,0
913,짤,Noun,4,1
914,후,Noun,88,1
915,기욤,Noun,2,0
916,냄새,Noun,9,0
917,초월,Noun,28,0
918,왠만하면,Adjective,11,0
919,쓰는데,Verb,23,1
920,깊게,Adjective,31,0
921,스케일,Noun,58,0
922,어느,Adverb,17,1
923,부족함,Noun,21,0
924,없습니다,Adjective,22,0
925,무엇,Noun,103,0
926,지루한,Adjective,56,0
927,전개,Noun,105,0
928,억지스러운,Adjective,3,0
929,없어,Adjective,23,0
930,세,Modifier,49,1
931,존예,Noun,80,0
932,♡♡,Foreign,67,0
933,아름다워요,Adjective,53,0
934,둘,Noun,48,0
935,날아다닐,Verb,1,0
936,세상,Noun,138,0
937,이영화,Noun,78,0
938,원픽,Noun,1,0
939,웃기,Noun,92,0
940,왜케,Noun,12,0
941,이쁜지,Adjective,3,0
942,하고,Verb,308,0
943,존잼스,Noun,1,0
944,10만원,Number,6,0
945,짜리,Foreign,9,1
946,보고온,Verb,14,0
947,다른건,Adjective,5,0
948,좋았는데,Adjective,34,0
949,별로,Noun,275,0
950,없으면서,Adjective,2,0
951,빵,Noun,42,0
952,준건,Verb,2,0
953,어이없었음,Adjective,1,0
954,물론,Adverb,39,0
955,있어,Adjective,52,0
956,야했지만,Adjective,2,0
957,뻔함,Adjective,21,0
958,앞,Noun,91,0
959,뒷말,Noun,1,0
960,맞고,Verb,14,0
961,상인,Noun,5,0
962,백성,Noun,8,0
963,아닝,Noun,1,0
964,내용,Noun,487,0
965,노래인데도,Adjective,1,0
966,전율,Noun,99,0
967,이런게,Adjective,16,0
968,상업,Noun,2,0
969,재능,Noun,8,0
970,극장,Noun,164,0
971,봐야지,Verb,78,0
972,쟈,Noun,126,0
